gene	canonical_length	longest_length
FNDC10	227	227
FNDC11	319	319
FNDC3A	1199	1199
FNDC3B	1205	1205
FNDC4	235	235
FNDC5	154	213
FNDC7	734	734
FNDC8	325	325
FNDC9	225	225
FNIP1	1167	1167
FNIP2	1115	1138
FNTA	380	380
FNTB	438	438
FOCAD	1802	1802
FOCAD-AS1	0	0
FOLH1	751	751
FOLH1B	443	443
FOLR1	258	258
FOLR2	256	256
FOLR3	245	245
FOPNL	175	199
FOS	381	381
FOSB	339	339
FOSL1	272	272
FOSL2	327	327
FOXA1	473	473
FOXA2	464	464
FOXA3	351	351
FOXB1	326	326
FOXB2	433	433
FOXC1	554	554
FOXC2	502	502
FOXC2-AS1	0	0
FOXCUT	0	0
FOXD1	465	465
FOXD2	496	496
FOXD2-AS1	0	0
FOXD3	479	479
FOXD3-AS1	0	0
FOXD4	440	440
FOXD4L1	409	409
FOXD4L3	418	418
FOXD4L4	417	417
FOXD4L5	417	417
FOXD4L6	418	418
FOXE1	374	374
FOXE3	320	320
FOXF1	380	380
FOXF2	445	445
FOXG1	490	490
FOXG1-AS1	0	0
FOXH1	366	366
FOXI1	379	379
FOXI2	319	319
FOXI3	420	420
FOXJ1	422	422
FOXJ2	575	575
FOXJ3	623	623
FOXK1	734	734
FOXK2	661	661
FOXL1	346	346
FOXL2	377	377
FOXL2NB	176	176
FOXM1	764	802
FOXN1	649	649
FOXN2	432	432
FOXN3	491	491
FOXN3-AS1	0	0
FOXN3-AS2	0	0
FOXN4	518	518
FOXO1	656	656
FOXO3	674	674
FOXO3B	0	0
FOXO4	506	506
FOXO6	493	493
FOXP1	680	694
FOXP1-AS1	0	0
FOXP2	741	741
FOXP3	432	432
FOXP4	681	681
FOXP4-AS1	0	0
FOXQ1	404	404
FOXR1	293	293
FOXR2	312	312
FOXRED1	487	487
FOXRED2	685	685
FOXS1	331	331
FPGS	588	588
FPGT	354	608
FPGT-TNNI3K	950	950
FPR1	351	351
FPR2	352	352
FPR3	354	354
FRA10AC1	316	316
FRAS1	4013	4013
FRAT1	280	280
FRAT2	234	234
FREM1	2180	2180
FREM2	3170	3170
FREM3	2140	2140
FRG1	259	259
FRG1BP	0	0
FRG1HP	0	0
FRG1JP	0	0
FRG2	280	280
FRG2B	279	279
FRG2C	283	283
FRG2DP	0	0
FRG2KP	0	0
FRGCA	0	0
FRK	506	506
FRMD1	550	550
FRMD3	598	598
FRMD4A	1040	1073
FRMD4B	1035	1035
FRMD5	571	571
FRMD6	623	623
FRMD6-AS1	0	0
FRMD6-AS2	0	0
FRMD7	715	715
FRMD8	465	465
FRMD8P1	0	0
FRMPD1	1579	1579
FRMPD2	1310	1310
FRMPD2B	0	0
FRMPD3	1811	1811
FRMPD3-AS1	0	0
FRMPD4	1323	1323
FRRS1	627	627
FRRS1L	345	345
FRS2	509	509
FRS3	493	493
FRY	3014	3014
FRY-AS1	0	0
FRYL	3014	3014
FRZB	326	326
FSBP	300	300
FSCB	826	826
FSCN1	494	494
FSCN2	517	517
FSCN3	499	499
FSD1	497	497
FSD1L	531	531
FSD2	750	750
FSHB	130	130
FSHR	696	696
FSIP1	582	582
FSIP2	6908	6908
FSIP2-AS1	0	0
FST	345	345
FSTL1	309	309
FSTL3	264	264
FSTL4	843	843
FSTL5	848	848
FTCD	542	573
FTCDNL1	0	0
FTH1	184	184
FTH1P18	222	222
FTH1P3	0	0
FTHL17	184	184
FTL	176	176
FTLP10	0	0
FTMT	243	243
FTO	506	506
FTO-IT1	0	0
FTSJ1	330	330
FTSJ3	848	848
FTX	0	0
FUBP1	645	666
FUBP3	573	573
FUCA1	467	467
FUCA2	468	468
FUK	1085	1085
FUNDC1	156	156
FUNDC2	190	190
FUNDC2P2	0	0
FUOM	155	155
FURIN	795	795
FUS	523	527
FUT1	366	366
FUT10	480	480
FUT11	493	493
FUT2	344	344
FUT3	362	362
FUT4	531	531
FUT5	375	375
FUT6	360	360
FUT7	343	343
FUT8	576	576
FUT8-AS1	0	0
FUT9	360	360
FUZ	419	419
FXN	211	211
FXR1	622	622
FXR2	674	674
FXYD1	93	93
FXYD2	67	67
FXYD3	145	145
FXYD4	90	90
FXYD5	179	195
FXYD6	96	96
FXYD6-FXYD2	145	145
FXYD7	81	81
FYB	840	840
FYCO1	1479	1479
FYN	535	538
FYTTD1	319	319
FZD1	648	648
FZD10	582	582
FZD10-AS1	0	0
FZD2	566	566
FZD3	667	667
FZD4	538	538
FZD5	586	586
FZD6	707	707
FZD7	575	575
FZD8	695	695
FZD9	592	592
FZR1	497	497
G0S2	104	104
G2E3	707	707
G3BP1	467	467
G3BP2	483	483
G6PC	358	358
G6PC2	356	356
G6PC3	347	347
G6PD	546	546
GAA	953	953
GAB1	725	725
GAB2	677	677
GAB3	588	588
GAB4	575	575
GABARAP	118	118
GABARAPL1	118	118
GABARAPL2	118	118
GABARAPL3	0	0
GABBR1	962	962
GABBR2	942	942
GABPA	455	455
GABPB1	396	396
GABPB1-AS1	0	0
GABPB2	449	465
GABRA1	457	457
GABRA2	452	512
GABRA3	493	493
GABRA4	536	555
GABRA5	463	463
GABRA6	454	454
GABRB1	475	475
GABRB2	513	513
GABRB3	474	474
GABRD	453	453
GABRE	507	507
GABRG1	466	466
GABRG2	516	516
GABRG3	468	468
GABRG3-AS1	0	0
GABRP	441	441
GABRQ	633	633
GABRR1	480	480
GABRR2	466	466
GABRR3	468	468
GACAT1	0	0
GACAT2	0	0
GACAT3	0	0
GAD1	595	595
GAD2	586	586
GADD45A	166	166
GADD45B	161	161
GADD45G	160	160
GADD45GIP1	223	223
GADL1	522	522
GAGE1	118	118
GAGE10	117	117
GAGE12B	117	117
GAGE12C	118	118
GAGE12D	118	118
GAGE12E	118	118
GAGE12F	118	118
GAGE12G	118	118
GAGE12H	118	118
GAGE12I	118	118
GAGE12J	118	118
GAGE13	118	118
GAGE2A	117	117
GAGE2B	117	117
GAGE2C	117	117
GAGE2D	117	117
GAK	1312	1312
GAL	124	124
GAL3ST1	424	449
GAL3ST2	399	399
GAL3ST3	432	432
GAL3ST4	487	487
GALC	686	686
GALE	349	349
GALK1	393	393
GALK2	459	459
GALM	343	343
GALNS	523	529
GALNT1	560	560
GALNT10	604	604
GALNT11	609	609
GALNT12	582	582
GALNT13	557	562
GALNT14	558	558
GALNT15	640	640
GALNT16	559	559
GALNT18	608	608
GALNT2	572	572
GALNT3	634	634
GALNT4	579	579
GALNT5	941	941
GALNT6	623	623
GALNT7	658	658
GALNT8	638	638
GALNT9	604	604
GALNTL5	444	444
GALNTL6	602	602
GALP	117	117
GALR1	350	350
GALR2	388	388
GALR3	369	369
GALT	380	380
GAMT	270	270
GAN	598	598
GANAB	967	967
GANC	915	915
GAP43	275	275
GAPDH	336	336
GAPDHS	409	409
GAPLINC	0	0
GAPT	158	158
GAPVD1	1488	1488
GAR1	218	218
GAREM1	877	877
GAREM2	875	875
GARNL3	1014	1014
GARS	740	740
GART	1011	1011
GAS1	346	346
GAS1RR	0	0
GAS2	314	314
GAS2L1	681	681
GAS2L1P2	0	0
GAS2L2	881	881
GAS2L3	695	695
GAS5	0	0
GAS5-AS1	0	0
GAS6	679	679
GAS6-AS1	0	0
GAS6-AS2	0	0
GAS7	477	477
GAS8	479	479
GAS8-AS1	0	0
GAST	102	102
GATA1	414	414
GATA2	481	481
GATA2-AS1	0	0
GATA3	445	445
GATA3-AS1	0	0
GATA4	443	444
GATA5	398	398
GATA6	596	596
GATA6-AS1	0	0
GATAD1	270	270
GATAD2A	634	635
GATAD2B	594	594
GATB	558	558
GATC	137	137
GATM	424	424
GATS	164	164
GATSL2	297	297
GATSL3	330	330
GBA	537	537
GBA2	928	928
GBA3	0	0
GBAP1	0	0
GBAS	287	287
GBAT2	0	0
GBE1	703	703
GBF1	1860	1860
GBGT1	348	348
GBP1	593	593
GBP1P1	0	0
GBP2	592	592
GBP3	596	596
GBP4	641	641
GBP5	587	587
GBP6	634	634
GBP7	639	639
GBX1	364	364
GBX2	349	349
GC	494	494
GCA	218	244
GCAT	446	446
GCC1	776	776
GCC2	1685	1685
GCC2-AS1	0	0
GCDH	439	439
GCFC2	782	782
GCG	181	181
GCGR	478	478
GCH1	251	251
GCHFR	85	85
GCK	467	467
GCKR	626	626
GCLC	638	638
GCLM	275	275
GCM1	437	437
GCM2	507	507
GCN1	2672	2672
GCNA	692	692
GCNT1	429	429
GCNT2	403	403
GCNT3	439	439
GCNT4	454	454
GCNT7	431	431
GCOM1	0	766
GCSAM	181	181
GCSAML	136	136
GCSAML-AS1	0	0
GCSH	174	174
GCSHP3	0	0
GDA	472	472
GDAP1	359	359
GDAP1L1	387	387
GDAP2	498	498
GDE1	332	332
GDF1	373	373
GDF10	479	479
GDF11	408	408
GDF15	309	309
GDF2	430	430
GDF3	365	365
GDF5	502	502
GDF6	456	456
GDF7	451	451
GDF9	455	455
GDI1	448	448
GDI2	446	446
GDNF	229	229
GDNF-AS1	106	106
GDPD1	315	315
GDPD2	591	591
GDPD3	319	319
GDPD4	521	521
GDPD5	606	606
GDPGP1	386	386
GEM	297	297
GEMIN2	281	281
GEMIN4	1059	1059
GEMIN5	1509	1509
GEMIN6	168	168
GEMIN7	132	132
GEMIN8	243	243
GEMIN8P4	0	0
GEN1	909	909
GET4	328	328
GFAP	433	439
GFER	206	206
GFI1	423	423
GFI1B	331	331
GFM1	752	771
GFM2	780	812
GFOD1	391	391
GFOD2	386	386
GFPT1	700	700
GFPT2	683	683
GFRA1	466	466
GFRA2	465	465
GFRA3	401	401
GFRA4	270	300
GFRAL	395	395
GFY	519	519
GGA1	640	640
GGA2	614	614
GGA3	724	724
GGACT	154	154
GGCT	189	189
GGCX	759	759
GGH	319	319
GGN	653	653
GGNBP1	0	0
GGNBP2	698	698
GGPS1	301	301
GGT1	570	570
GGT3P	0	0
GGT5	588	588
GGT6	494	500
GGT7	663	663
GGT8P	0	0
GGTA1P	0	0
GGTLC1	226	226
GGTLC2	219	253
GH1	218	218
GH2	257	257
GHDC	531	531
GHET1	0	0
GHITM	346	346
GHR	639	646
GHRH	109	109
GHRHR	424	424
GHRL	106	118
GHRLOS	0	0
GHSR	367	367
GID4	301	301
GID8	229	229
GIF	418	418
GIGYF1	1036	1036
GIGYF2	1300	1321
GIMAP1	307	307
GIMAP1-GIMAP5	512	512
GIMAP2	338	338
GIMAP4	330	330
GIMAP5	308	308
GIMAP6	363	363
GIMAP7	301	301
GIMAP8	666	666
GIMD1	218	218
GIN1	523	523
GINM1	331	331
GINS1	197	197
GINS2	186	186
GINS3	256	256
GINS4	224	224
GIP	154	154
GIPC1	334	334
GIPC2	316	316
GIPC3	313	313
GIPR	467	467
GIT1	771	771
GIT2	760	760
GJA1	383	383
GJA10	544	544
GJA3	436	436
GJA4	334	334
GJA5	359	359
GJA8	434	434
GJA9	516	516
GJA9-MYCBP	0	0
GJB1	284	284
GJB2	227	227
GJB3	271	271
GJB4	267	267
GJB5	274	274
GJB6	262	262
GJB7	224	224
GJC1	397	397
GJC2	440	440
GJC3	280	280
GJD2	322	322
GJD3	295	295
GJD4	371	371
GK	560	560
GK2	554	554
GK3P	0	0
GK5	530	530
GKAP1	367	367
GKN1	200	200
GKN2	185	185
GLA	430	430
GLB1	678	726
GLB1L	655	655
GLB1L2	637	637
GLB1L3	654	654
GLCCI1	548	548
GLCE	618	618
GLDC	1021	1021
GLDN	552	552
GLE1	699	699
GLG1	1204	1204
GLI1	1107	1107
GLI2	1587	1587
GLI3	1581	1581
GLI4	377	377
GLIDR	0	0
GLIPR1	267	267
GLIPR1L1	234	243
GLIPR1L2	345	345
GLIPR2	155	170
GLIS1	621	621
GLIS2	525	525
GLIS2-AS1	0	0
GLIS3	931	931
GLIS3-AS1	0	0
GLMN	595	595
GLMP	407	407
GLO1	185	185
GLOD4	299	299
GLOD5	161	161
GLP1R	464	464
GLP2R	554	554
GLRA1	458	458
GLRA2	453	453
GLRA3	465	465
GLRA4	418	418
GLRB	498	498
GLRX	107	107
GLRX2	165	166
GLRX3	336	336
GLRX5	158	158
GLS	670	670
GLS2	603	603
GLT1D1	267	267
GLT6D1	277	277
GLT8D1	372	372
GLT8D2	350	350
GLTP	210	210
GLTPD2	292	292
GLTSCR1	1561	1561
GLTSCR1L	1080	1080
GLTSCR2	479	479
GLTSCR2-AS1	0	0
GLUD1	559	559
GLUD1P3	0	0
GLUD1P7	0	0
GLUD2	559	559
GLUL	374	374
GLYAT	297	297
GLYATL1	334	334
GLYATL2	295	295
GLYATL3	289	289
GLYCAM1	0	0
GLYCTK	524	524
GLYCTK-AS1	0	0
GLYR1	554	559
GM2A	194	194
GMCL1	516	516
GMCL1P1	0	0
GMDS	373	373
GMDS-AS1	0	0
GMEB1	574	574
GMEB2	531	531
GMFB	143	143
GMFG	143	143
GMIP	971	971
GML	159	159
GMNC	335	335
GMNN	210	210
GMPPA	421	421
GMPPB	388	388
GMPR	346	346
GMPR2	349	428
GMPS	694	694
GNA11	360	360
GNA12	382	382
GNA13	378	378
GNA14	356	356
GNA14-AS1	0	0
GNA15	375	375
GNAI1	355	355
GNAI2	356	356
GNAI3	355	355
GNAL	459	459
GNAO1	355	355
GNAQ	360	360
GNAS	1038	1038
GNAS-AS1	0	0
GNAT1	351	351
GNAT2	355	355
GNAT3	355	355
GNAZ	356	356
GNB1	341	341
GNB1L	328	328
GNB2	341	341
GNB3	341	341
GNB4	341	341
GNB5	396	396
GNE	754	754
GNG10	69	69
GNG11	74	74
GNG12	73	73
GNG12-AS1	0	0
GNG13	68	68
GNG2	72	72
GNG3	76	76
GNG4	76	76
GNG5	69	69
GNG7	69	69
GNG8	71	71
GNGT1	75	75
GNGT2	70	70
GNL1	608	608
GNL2	732	800
GNL3	550	550
GNL3L	583	583
GNLY	146	173
GNMT	296	296
GNPAT	681	681
GNPDA1	290	290
GNPDA2	277	277
GNPNAT1	185	185
GNPTAB	1257	1257
GNPTG	306	306
GNRH1	93	97
GNRH2	121	121
GNRHR	329	329
GNRHR2	0	0
GNS	553	553
GOLGA1	768	768
GOLGA2	1003	1003
GOLGA2P10	0	0
GOLGA2P11	0	0
GOLGA2P2Y	0	0
GOLGA2P3Y	0	0
GOLGA2P5	0	0
GOLGA2P6	0	0
GOLGA2P7	0	0
GOLGA2P9	0	0
GOLGA3	1499	1499
GOLGA4	2244	2244
GOLGA5	732	732
GOLGA6A	694	694
GOLGA6B	694	694
GOLGA6C	694	694
GOLGA6D	694	694
GOLGA6L1	669	669
GOLGA6L10	523	523
GOLGA6L2	910	910
GOLGA6L3	531	531
GOLGA6L4	575	575
GOLGA6L5P	0	0
GOLGA6L6	725	725
GOLGA6L7P	0	0
GOLGA6L9	433	433
GOLGA7	138	138
GOLGA7B	168	168
GOLGA8A	604	604
GOLGA8B	604	604
GOLGA8CP	0	0
GOLGA8DP	0	0
GOLGA8EP	0	0
GOLGA8F	0	0
GOLGA8G	0	0
GOLGA8H	633	633
GOLGA8IP	0	0
GOLGA8J	633	633
GOLGA8K	631	631
GOLGA8M	633	633
GOLGA8N	633	633
GOLGA8O	633	633
GOLGA8R	632	632
GOLGA8S	0	0
GOLGA8T	0	0
GOLGB1	3270	3270
GOLIM4	697	697
GOLM1	402	402
GOLPH3	299	299
GOLPH3L	286	286
GOLT1A	133	133
GOLT1B	139	139
GON4L	2242	2242
GON7	101	101
GOPC	463	463
GORAB	395	395
GORASP1	441	441
GORASP2	385	453
GOSR1	251	251
GOSR2	214	258
GOT1	414	414
GOT1L1	422	422
GOT2	431	431
GP1BA	653	653
GP1BB	207	207
GP2	535	538
GP5	561	561
GP6	621	621
GP9	178	178
GPA33	320	320
GPAA1	622	622
GPALPP1	341	341
GPAM	829	829
GPANK1	357	357
GPAT2	796	802
GPAT3	435	435
GPAT4	457	457
GPATCH1	932	932
GPATCH11	286	286
GPATCH2	529	529
GPATCH2L	483	483
GPATCH3	526	526
GPATCH4	371	376
GPATCH8	1503	1503
GPBAR1	331	331
GPBP1	481	494
GPBP1L1	475	475
GPC1	559	559
GPC2	580	580
GPC3	604	604
GPC4	557	557
GPC5	573	573
GPC5-AS1	0	0
GPC5-AS2	0	0
GPC6	556	556
GPC6-AS1	0	0
GPC6-AS2	0	0
GPCPD1	673	673
GPD1	350	350
GPD1L	352	352
GPD2	728	728
GPER1	376	376
GPHA2	130	130
GPHB5	130	130
GPHN	770	770
GPI	559	598
GPIHBP1	185	185
GPKOW	477	477
GPLD1	841	841
GPM6A	279	279
GPM6B	329	329
GPN1	389	389
GPN2	311	311
GPN3	324	324
GPNMB	573	573
GPR1	356	356
GPR101	509	509
GPR107	553	601
GPR108	544	544
GPR119	336	336
GPR12	335	335
GPR132	381	381
GPR135	495	495
GPR137	476	476
GPR137B	400	400
GPR137C	430	430
GPR139	354	354
GPR141	306	306
GPR142	463	463
GPR143	405	405
GPR146	334	334
GPR148	348	348
GPR149	732	732
GPR15	361	361
GPR150	435	435
GPR151	420	420
GPR152	471	471
GPR153	610	610
GPR155	871	871
GPR156	815	815
GPR157	336	336
GPR158	1216	1216
GPR158-AS1	0	0
GPR160	339	339
GPR161	547	550
GPR162	589	589
GPR17	368	368
GPR171	320	320
GPR173	374	374
GPR174	334	334
GPR176	471	516
GPR179	2368	2368
GPR18	332	332
GPR180	441	441
GPR182	405	405
GPR183	362	362
GPR19	416	416
GPR1-AS	0	0
GPR20	359	359
GPR21	350	350
GPR22	434	434
GPR25	362	362
GPR26	338	338
GPR27	376	376
GPR3	331	331
GPR31	320	320
GPR32	357	357
GPR33	334	334
GPR34	382	382
GPR35	310	341
GPR37	614	614
GPR37L1	482	482
GPR39	454	454
GPR4	363	363
GPR45	373	373
GPR50	618	618
GPR50-AS1	0	0
GPR52	362	362
GPR55	320	320
GPR6	363	378
GPR61	452	452
GPR62	369	369
GPR63	420	420
GPR65	338	338
GPR68	366	366
GPR75	541	541
GPR75-ASB3	557	557
GPR78	364	364
GPR82	337	337
GPR83	424	424
GPR84	397	397
GPR85	371	371
GPR87	359	359
GPR88	385	385
GPR89A	456	456
GPR89B	456	456
GPRASP1	1396	1396
GPRASP2	839	839
GPRC5A	358	358
GPRC5B	404	535
GPRC5C	454	487
GPRC5D	346	346
GPRC6A	927	927
GPRIN1	1009	1009
GPRIN2	459	459
GPRIN3	777	777
GPS1	492	560
GPS2	328	328
GPSM1	676	676
GPSM2	685	685
GPSM3	161	161
GPT	497	497
GPT2	524	524
GPX1	204	204
GPX2	191	191
GPX3	227	236
GPX4	235	235
GPX5	222	222
GPX6	222	222
GPX7	188	188
GPX8	210	210
GRAMD1A	725	807
GRAMD1B	739	746
GRAMD1C	663	663
GRAMD2	355	355
GRAMD3	448	448
GRAMD4	579	579
GRAP	218	218
GRAP2	331	331
GRAPL	119	119
GRASP	396	396
GRB10	595	595
GRB14	541	541
GRB2	218	218
GRB7	556	556
GREB1	1950	1950
GREB1L	1924	1924
GREM1	185	185
GREM2	169	169
GRHL1	619	619
GRHL2	626	626
GRHL3	627	627
GRHPR	329	329
GRIA1	917	917
GRIA2	884	884
GRIA3	895	895
GRIA4	903	903
GRID1	1010	1010
GRID1-AS1	0	0
GRID2	1008	1008
GRID2IP	1212	1212
GRIFIN	148	148
GRIK1	919	950
GRIK1-AS1	0	0
GRIK1-AS2	0	0
GRIK2	909	909
GRIK3	920	920
GRIK4	957	957
GRIK5	981	982
GRIN1	944	944
GRIN2A	1465	1465
GRIN2B	1485	1485
GRIN2C	1234	1234
GRIN2D	1337	1337
GRIN3A	1116	1116
GRIN3B	1044	1044
GRINA	372	372
GRIP1	1077	1077
GRIP2	1043	1043
GRIPAP1	842	842
GRK1	564	564
GRK2	690	690
GRK3	689	689
GRK4	579	579
GRK5	591	591
GRK6	590	590
GRK6P1	0	0
GRK7	554	554
GRM1	907	1195
GRM2	873	873
GRM3	880	880
GRM4	913	913
GRM5	1213	1213
GRM5-AS1	0	0
GRM6	878	878
GRM7	923	923
GRM7-AS1	0	0
GRM7-AS2	0	0
GRM7-AS3	0	0
GRM8	909	909
GRN	594	594
GRP	149	149
GRPEL1	218	218
GRPEL2	226	226
GRPEL2-AS1	0	0
GRPR	385	385
GRSF1	481	481
GRTP1	337	345
GRTP1-AS1	0	0
GRWD1	447	447
GRXCR1	291	291
GRXCR2	249	249
GS1-124K5.11	0	0
GS1-124K5.4	0	0
GS1-24F4.2	0	0
GS1-259H13.2	222	222
GS1-279B7.1	0	0
GS1-594A7.3	0	0
GS1-600G8.3	0	0
GSAP	855	855
GSC	258	258
GSC2	206	206
GSDMA	446	446
GSDMB	417	417
GSDMC	509	509
GSDMD	485	485
GSE1	1218	1218
GSG1	363	363
GSG1L	332	350
GSG1L2	294	294
GSG2	799	799
GSK3A	484	484
GSK3B	434	434
GSKIP	140	140
GSN	783	783
GSN-AS1	0	0
GSPT1	638	638
GSPT2	629	629
GSR	523	523
GSS	475	475
GSTA1	223	223
GSTA2	223	223
GSTA3	223	223
GSTA4	223	223
GSTA5	223	223
GSTA7P	0	0
GSTCD	634	634
GSTK1	283	283
GSTM1	219	219
GSTM2	192	219
GSTM2P1	0	0
GSTM3	226	226
GSTM4	219	219
GSTM5	219	219
GSTO1	242	242
GSTO2	244	244
GSTP1	211	211
GSTT1	241	241
GSTT1-AS1	0	0
GSTT2	0	0
GSTT2B	245	245
GSTTP1	0	0
GSTTP2	0	0
GSTZ1	217	217
GSX1	265	265
GSX2	305	305
GTDC1	459	459
GTF2A1	377	377
GTF2A1L	479	479
GTF2A2	110	110
GTF2B	317	317
GTF2E1	440	440
GTF2E2	292	292
GTF2F1	518	518
GTF2F2	250	250
GTF2H1	549	549
GTF2H2	396	396
GTF2H2B	0	0
GTF2H2C	396	396
GTF2H3	309	309
GTF2H4	463	463
GTF2H5	72	72
GTF2I	999	999
GTF2IP1	0	0
GTF2IP12	0	0
GTF2IP20	0	0
GTF2IP23	0	0
GTF2IP4	0	0
GTF2IP7	0	0
GTF2IRD1	977	977
GTF2IRD1P1	0	0
GTF2IRD2	950	950
GTF2IRD2B	950	950
GTF3A	366	366
GTF3C1	2110	2110
GTF3C2	912	923
GTF3C2-AS1	0	0
GTF3C3	887	887
GTF3C4	823	823
GTF3C5	527	527
GTF3C6	214	214
GTPBP1	670	670
GTPBP10	388	388
GTPBP2	603	603
GTPBP3	515	525
GTPBP4	635	635
GTPBP6	289	289
GTPBP8	285	285
GTSCR1	137	137
GTSE1	740	740
GTSE1-AS1	0	0
GTSF1	168	168
GTSF1L	149	149
GUCA1A	202	202
GUCA1B	201	201
GUCA1C	210	210
GUCA2A	116	116
GUCA2B	113	113
GUCD1	241	297
GUCY1A2	733	764
GUCY1A3	691	691
GUCY1B2	0	0
GUCY1B3	620	642
GUCY2C	1074	1074
GUCY2D	1104	1104
GUCY2EP	0	0
GUCY2F	1109	1109
GUCY2GP	0	0
GUF1	670	670
GUK1	242	242
GULP1	305	305
GUSB	652	652
GUSBP1	0	0
GUSBP10	0	0
GUSBP11	0	0
GUSBP2	0	0
GUSBP3	0	0
GUSBP4	0	0
GUSBP5	0	0
GUSBP9	0	0
GVINP1	0	0
GVQW2	109	109
GXYLT1	441	441
GXYLT1P3	0	0
GXYLT2	444	444
GYG1	351	351
GYG2	502	502
GYG2P1	0	0
GYPA	151	151
GYPB	66	92
GYPC	129	129
GYPE	79	79
GYS1	738	738
GYS2	704	704
GZF1	712	712
GZMA	263	263
GZMB	248	248
GZMH	247	247
GZMK	265	265
GZMM	258	258
H19	0	0
H1F0	195	195
H1FNT	256	256
H1FOO	347	347
H1FX	214	214
H1FX-AS1	0	0
H2AFB1	116	116
H2AFB2	116	116
H2AFB3	116	116
H2AFJ	130	130
H2AFV	129	129
H2AFX	144	144
H2AFY	373	373
H2AFY2	373	373
H2AFZ	129	129
H2BFM	155	155
H2BFWT	176	176
H2BFXP	0	0
H3F3A	137	137
H3F3AP4	0	0
H3F3B	137	137
H3F3C	136	136
H6PD	792	803
HAAO	287	287
HABP2	561	561
HABP4	414	414
HACD1	289	289
HACD2	255	278
HACD3	363	363
HACD4	233	284
HACE1	910	910
HACL1	579	579
HADH	332	332
HADHA	764	764
HADHB	475	475
HAGH	309	309
HAGHL	283	338
HAGLR	0	0
HAGLROS	0	0
HAL	658	658
HAMP	85	85
HAND1	216	216
HAND2	218	218
HAND2-AS1	0	0
HAO1	371	371
HAO2	352	365
HAO2-IT1	0	0
HAP1	620	620
HAPLN1	355	355
HAPLN2	341	341
HAPLN3	361	423
HAPLN4	403	403
HAR1A	0	0
HAR1B	0	0
HARBI1	350	350
HARS	510	510
HARS2	507	507
HAS1	579	579
HAS2	553	553
HAS2-AS1	0	0
HAS3	554	554
HAT1	420	420
HAUS1	279	279
HAUS2	236	236
HAUS3	604	604
HAUS4	364	364
HAUS5	634	634
HAUS6	956	956
HAUS7	369	369
HAUS8	411	411
HAVCR1	365	402
HAVCR1P1	0	0
HAVCR2	302	302
HAX1	280	280
HBA1	143	143
HBA2	143	143
HBB	148	148
HBBP1	0	0
HBD	148	148
HBE1	148	148
HBEGF	209	209
HBG1	148	148
HBG2	148	148
HBM	142	142
HBP1	525	525
HBQ1	143	143
HBS1L	685	685
HBZ	143	143
HCAR1	347	347
HCAR2	364	364
HCAR3	388	388
HCCAT5	0	0
HCCS	269	269
HCFC1	2036	2036
HCFC1-AS1	0	0
HCFC1R1	139	139
HCFC2	793	793
HCG11	0	0
HCG14	0	0
HCG16	0	0
HCG17	0	0
HCG18	0	0
HCG20	0	0
HCG2040054	0	0
HCG21	0	0
HCG22	0	0
HCG23	0	0
HCG24	0	0
HCG25	0	0
HCG26	0	0
HCG27	0	0
HCG4	0	0
HCG4B	0	0
HCG8	0	0
HCG9	0	0
HCK	506	527
HCLS1	487	487
HCN1	891	891
HCN2	890	890
HCN3	775	775
HCN4	1204	1204
HCP5	0	0
HCP5B	0	0
HCRT	132	132
HCRTR1	426	426
HCRTR2	445	445
HCST	94	94
HDAC1	483	483
HDAC10	670	670
HDAC11	348	348
HDAC11-AS1	0	0
HDAC2	489	489
HDAC3	429	429
HDAC4	1085	1085
HDAC5	1124	1124
HDAC6	1216	1230
HDAC7	992	992
HDAC8	378	378
HDAC9	1070	1070
HDC	663	663
HDDC2	205	205
HDDC3	141	180
HDGF	241	264
HDGFL1	252	252
HDGFRP2	677	701
HDGFRP3	204	204
HDHD2	260	260
HDHD3	252	252
HDLBP	1269	1269
HDX	691	691
HEATR1	2145	2145
HEATR3	681	681
HEATR4	1027	1027
HEATR5A	2047	2047
HEATR5B	2072	2072
HEATR6	1182	1182
HEATR9	571	571
HEBP1	190	190
HEBP2	206	217
HECA	544	544
HECTD1	2611	2611
HECTD2	777	781
HECTD2-AS1	0	0
HECTD3	862	862
HECTD4	4285	4285
HECW1	1607	1607
HECW1-IT1	0	0
HECW2	1573	1573
HEG1	1382	1382
HEIH	0	0
HELB	1088	1088
HELLS	839	885
HELQ	1102	1102
HELT	243	243
HELZ	1943	1944
HELZ2	2650	2650
HEMGN	485	485
HEMK1	339	339
HENMT1	394	394
HEPACAM	417	417
HEPACAM2	463	486
HEPH	1213	1213
HEPHL1	1160	1160
HEPN1	89	89
HERC1	4862	4862
HERC2	4835	4835
HERC2P10	0	0
HERC2P2	0	0
HERC2P3	0	0
HERC2P4	0	0
HERC2P7	0	0
HERC2P9	0	0
HERC3	1051	1051
HERC4	1058	1058
HERC5	1025	1025
HERC6	1023	1023
HERPUD1	392	392
HERPUD2	407	407
HES1	281	281
HES2	174	174
HES3	187	187
HES4	222	248
HES5	167	167
HES6	225	225
HES7	231	231
HESX1	186	186
HEXA	530	541
HEXA-AS1	0	0
HEXB	557	557
HEXDC	586	586
HEXIM1	360	360
HEXIM2	287	309
HEY1	309	309
HEY2	338	338
HEYL	329	329
HFE	349	349
HFE2	427	427
HFM1	1436	1436
